,high_price,low_price,open_price,close_price,average_price,volume,buy_volume,sell_volume,average_price_last_3h,average_price_last_1h,hour,dayahead
2024-03-20 01:00:00+01:00,78.08,66.87,66.87,78.08,72.96,469.3,324.2,177.3,73.02,,1,73.4
2024-03-20 02:00:00+01:00,78.88,67.62,67.62,77.0,74.67,535.2,336.2,214.3,75.83,,2,74.9
2024-03-20 03:00:00+01:00,80.43,68.02,68.02,80.43,75.6,385.0,302.7,118.5,76.57,,3,75.7
2024-03-20 04:00:00+01:00,76.79,68.34,68.34,74.0,74.72,522.4,364.1,202.4,74.93,,4,76.36
2024-03-20 05:00:00+01:00,96.01,70.62,80.96,91.0,82.67,556.7,355.9,225.2,84.54,,5,80.9
2024-03-20 06:00:00+01:00,132.9,90.48,132.9,109.0,111.21,1017.6,576.1,527.3,113.84,,6,116.0
2024-03-20 07:00:00+01:00,133.1,104.32,133.1,104.32,114.43,705.0,380.5,351.3,114.38,,7,116.24
2024-03-20 08:00:00+01:00,108.2,87.56,96.25,90.11,96.77,1126.5,672.0,530.2,94.5,,8,98.33
2024-03-20 09:00:00+01:00,75.56,68.55,69.42,75.56,71.6,949.6,486.1,509.0,71.54,,9,70.63
2024-03-20 10:00:00+01:00,73.03,55.02,65.1,70.0,66.85,798.3,412.3,421.9,67.38,,10,66.0
2024-03-20 11:00:00+01:00,79.6,44.52,61.72,79.6,70.03,1854.7,1363.6,684.4,71.15,,11,65.39
2024-03-20 12:00:00+01:00,85.0,55.25,61.98,74.1,72.14,2843.8,2320.5,1392.3,74.05,,12,61.43
2024-03-20 13:00:00+01:00,74.98,56.71,64.0,64.0,68.17,3298.6,2861.6,1842.9,69.03,,13,63.95
2024-03-20 14:00:00+01:00,74.3,57.1,68.25,63.28,64.8,1997.4,1394.1,824.4,65.33,,14,64.35
2024-03-20 15:00:00+01:00,79.95,66.02,72.28,75.1,72.9,1691.2,1210.6,703.8,73.82,,15,70.78
2024-03-20 16:00:00+01:00,97.46,77.17,82.82,92.73,89.48,1669.8,1042.8,696.5,91.47,,16,87.07
2024-03-20 17:00:00+01:00,184.95,115.01,118.51,177.0,134.4,1584.3,941.9,757.2,147.87,,17,119.68
2024-03-20 18:00:00+01:00,372.49,164.56,164.56,372.49,228.0,3257.7,1790.0,1640.6,280.95,,18,168.54
2024-03-20 19:00:00+01:00,339.77,131.12,131.12,191.0,221.16,3561.7,2023.3,1710.7,263.37,,19,159.05
2024-03-20 20:00:00+01:00,175.01,95.53,95.53,118.06,143.7,3124.1,1829.1,1547.0,136.26,,20,124.95
2024-03-20 21:00:00+01:00,107.72,85.26,85.26,90.01,96.96,1148.6,731.4,473.4,92.06,,21,106.52
2024-03-20 22:00:00+01:00,95.46,79.06,79.06,85.5,86.7,879.9,497.7,395.8,84.4,,22,96.07
2024-03-20 23:00:00+01:00,80.45,72.51,79.7,77.96,76.13,1198.0,689.1,572.7,75.18,,23,79.98
2024-03-21 00:00:00+01:00,78.77,65.11,65.11,72.32,74.12,419.5,277.5,167.4,74.52,,0,76.18
2024-03-21 01:00:00+01:00,72.1,63.65,63.65,72.1,69.42,507.8,342.0,168.9,70.2,,1,73.37
2024-03-21 02:00:00+01:00,78.1,56.76,62.81,75.29,67.07,1594.2,977.8,1105.4,72.36,,2,71.55
2024-03-21 03:00:00+01:00,70.82,55.0,61.73,67.05,61.95,2106.0,1262.9,1789.1,67.27,,3,69.82
2024-03-21 04:00:00+01:00,68.78,50.54,61.5,57.0,60.26,3015.3,1694.6,2347.1,61.37,,4,69.3
2024-03-21 05:00:00+01:00,69.64,56.31,65.3,58.23,62.26,2895.4,1470.7,2388.5,62.18,,5,71.74
2024-03-21 06:00:00+01:00,85.19,66.55,72.6,79.0,75.64,2814.5,1349.3,2043.6,77.32,,6,81.0
2024-03-21 07:00:00+01:00,100.26,84.42,97.21,88.21,90.17,1967.3,969.2,1102.8,87.25,,7,98.21
2024-03-21 08:00:00+01:00,103.91,85.18,96.25,95.0,94.37,1698.7,1230.6,791.4,90.42,,8,102.29
2024-03-21 09:00:00+01:00,80.18,68.1,77.79,79.9,75.32,1462.7,956.3,583.2,75.33,,9,80.0
2024-03-21 10:00:00+01:00,78.07,64.15,75.95,77.41,71.54,1112.2,657.7,505.6,72.89,,10,72.41
2024-03-21 11:00:00+01:00,72.62,58.6,62.59,69.0,67.36,1646.6,929.0,822.7,69.53,,11,68.03
2024-03-21 12:00:00+01:00,76.67,55.73,58.55,72.7,64.1,2563.3,1454.9,1593.1,68.8,,12,64.64
2024-03-21 13:00:00+01:00,75.0,48.98,57.86,72.96,61.09,3790.3,1916.9,2519.4,67.9,,13,59.96
2024-03-21 14:00:00+01:00,75.14,52.01,75.14,62.5,62.49,3738.2,2139.0,2548.7,65.58,,14,65.24
2024-03-21 15:00:00+01:00,75.88,56.0,74.59,66.17,63.03,3004.4,1698.6,2354.8,67.14,,15,64.69
2024-03-21 16:00:00+01:00,85.17,60.0,72.37,67.95,68.92,3035.3,2079.8,1998.5,68.71,,16,75.27
2024-03-21 17:00:00+01:00,110.9,79.59,100.43,85.0,90.82,1931.7,1085.8,976.8,88.99,,17,100.9
2024-03-21 18:00:00+01:00,127.99,92.07,123.66,102.0,111.78,1714.6,913.8,892.5,100.21,,18,127.13
2024-03-21 19:00:00+01:00,134.0,79.48,120.04,85.01,106.19,1867.6,1055.6,1053.6,91.64,,19,120.69
2024-03-21 20:00:00+01:00,92.95,66.22,86.12,66.22,78.93,1287.4,873.6,713.4,73.86,,20,93.08
2024-03-21 21:00:00+01:00,75.67,61.47,69.11,63.0,68.13,1019.8,598.2,567.3,68.71,,21,76.27
2024-03-21 22:00:00+01:00,67.03,52.0,62.23,57.26,60.73,1821.6,1351.6,1394.4,54.29,,22,67.3
2024-03-21 23:00:00+01:00,54.9,33.01,52.9,44.0,45.4,2550.8,1516.6,2047.1,40.41,,23,56.92
2024-03-22 00:00:00+01:00,43.68,17.61,19.1,23.0,29.63,5342.6,4639.2,5342.6,26.25,,0,19.92
2024-03-22 01:00:00+01:00,44.64,17.99,37.54,25.0,31.95,3859.6,3433.7,3757.6,24.18,,1,34.26
2024-03-22 02:00:00+01:00,42.48,16.28,36.98,32.23,29.48,4291.1,3347.2,3735.4,24.97,,2,32.24
2024-03-22 03:00:00+01:00,37.8,15.9,27.05,35.2,27.27,4056.6,3253.9,3444.7,24.61,,3,28.92
2024-03-22 04:00:00+01:00,37.38,19.07,34.61,25.0,28.47,3523.2,2604.5,2896.4,26.11,,4,31.92
2024-03-22 05:00:00+01:00,47.3,30.37,40.02,42.0,36.16,3278.6,2476.6,2924.2,36.84,,5,39.55
2024-03-22 06:00:00+01:00,43.19,23.11,42.08,25.5,38.57,3137.6,2386.4,2817.3,33.46,,6,42.38
2024-03-22 07:00:00+01:00,64.0,48.0,64.0,53.0,57.38,2937.4,2563.5,2488.1,50.54,,7,64.02
2024-03-22 08:00:00+01:00,63.81,49.01,60.91,54.8,58.34,2937.3,2552.1,2580.6,55.06,,8,64.57
2024-03-22 09:00:00+01:00,59.19,41.9,55.53,49.98,52.49,3674.8,2300.0,2985.4,49.64,,9,56.32
2024-03-22 10:00:00+01:00,58.99,43.0,50.09,49.38,49.72,2958.0,1948.4,1966.7,48.18,,10,51.81
2024-03-22 11:00:00+01:00,52.36,41.0,49.52,45.72,47.42,2680.1,1458.3,2043.4,45.55,,11,49.85
2024-03-22 12:00:00+01:00,56.53,37.3,49.5,41.95,44.86,3414.1,2074.0,2712.9,41.34,,12,49.76
2024-03-22 13:00:00+01:00,53.26,41.76,47.51,50.31,46.97,3823.3,2130.1,2761.0,46.58,,13,50.26
2024-03-22 14:00:00+01:00,58.0,42.0,46.87,56.86,47.05,2957.0,2342.4,2172.3,49.69,,14,48.75
2024-03-22 15:00:00+01:00,60.59,42.0,47.9,49.01,47.7,2869.0,2273.4,2174.9,50.06,,15,49.81
2024-03-22 16:00:00+01:00,53.35,41.5,50.67,47.0,48.89,2157.0,1409.5,1857.6,48.18,,16,53.42
2024-03-22 17:00:00+01:00,63.96,47.12,63.96,51.0,56.99,1970.8,1290.5,1790.8,52.59,,17,63.94
2024-03-22 18:00:00+01:00,75.14,53.34,60.72,65.1,58.62,1740.2,1498.5,1431.8,57.49,,18,60.63
2024-03-22 19:00:00+01:00,98.0,57.18,61.1,95.69,67.32,1109.6,1009.6,897.4,74.43,,19,62.17
2024-03-22 20:00:00+01:00,94.39,59.1,60.6,93.0,66.82,805.7,723.6,560.1,70.84,,20,61.09
2024-03-22 21:00:00+01:00,80.5,57.17,60.0,67.4,68.59,671.5,625.5,412.7,71.99,,21,60.5
2024-03-22 22:00:00+01:00,70.48,47.03,59.98,50.0,61.0,669.8,575.5,573.3,60.46,,22,60.12
2024-03-22 23:00:00+01:00,60.96,43.63,50.11,46.1,49.0,896.6,415.0,764.0,46.5,,23,54.51
2024-03-23 00:00:00+01:00,66.3,40.11,41.01,54.58,45.18,1036.4,776.9,438.6,47.91,,0,36.79
2024-03-23 01:00:00+01:00,68.2,44.68,49.87,56.11,50.08,903.5,784.7,454.0,55.51,,1,49.68
2024-03-23 02:00:00+01:00,67.68,43.72,51.02,55.92,49.22,881.5,802.0,473.6,55.39,,2,51.01
2024-03-23 03:00:00+01:00,69.99,42.97,69.99,61.68,50.1,1489.2,1137.9,1054.2,57.75,,3,49.99
2024-03-23 04:00:00+01:00,60.16,38.0,51.75,50.44,43.94,3398.7,2578.8,2911.7,43.15,,4,50.44
2024-03-23 05:00:00+01:00,60.27,39.01,50.4,60.27,43.54,2818.6,2255.8,2518.6,48.56,,5,48.82
2024-03-23 06:00:00+01:00,61.36,41.1,48.91,48.4,45.59,2329.6,1962.4,1923.4,51.18,,6,47.87
2024-03-23 07:00:00+01:00,59.34,40.1,45.1,46.99,44.96,2073.2,1644.9,1604.3,51.85,,7,43.48
2024-03-23 08:00:00+01:00,46.35,-7.24,39.54,34.0,28.5,3284.6,2474.1,3007.0,37.32,,8,37.72
2024-03-23 09:00:00+01:00,19.08,-28.98,19.08,8.2,5.56,2542.8,2080.0,2107.4,1.0,,9,13.2
2024-03-23 10:00:00+01:00,16.98,-1.48,-1.48,11.0,5.14,683.7,682.0,682.7,8.71,,10,0.02
2024-03-23 11:00:00+01:00,14.58,-2.79,4.02,4.06,5.52,2049.7,1174.9,1018.5,6.41,,11,-0.05
2024-03-23 12:00:00+01:00,10.89,-7.99,3.78,-7.99,2.78,770.0,620.5,614.5,0.1,,12,-1.94
2024-03-23 13:00:00+01:00,6.5,-6.96,4.43,-1.01,1.17,743.6,565.7,635.0,-2.85,,13,-2.74
2024-03-23 14:00:00+01:00,9.69,-7.8,9.69,-6.98,0.4,658.9,515.8,613.4,-2.66,,14,-2.71
2024-03-23 15:00:00+01:00,13.3,-3.6,10.91,-1.99,2.69,689.4,475.1,636.6,0.77,,15,-1.46
2024-03-23 16:00:00+01:00,23.79,0.07,0.12,6.51,11.2,1437.3,663.5,1031.2,9.94,,16,0.07
2024-03-23 17:00:00+01:00,47.95,37.8,45.45,45.54,43.02,2602.2,2284.9,2453.0,43.94,,17,47.8
2024-03-23 18:00:00+01:00,80.15,46.6,55.05,80.15,54.4,3661.0,3148.7,3284.7,68.36,,18,55.37
2024-03-23 19:00:00+01:00,67.79,52.0,58.0,61.0,57.05,3882.4,2844.3,3200.3,62.69,,19,58.64
2024-03-23 20:00:00+01:00,75.01,47.95,51.39,65.0,52.8,3080.4,2573.7,2537.0,64.43,,20,52.94
2024-03-23 21:00:00+01:00,61.0,41.89,42.99,53.2,49.18,3005.3,2427.5,1797.0,56.54,,21,45.84
2024-03-23 22:00:00+01:00,53.32,35.64,40.05,52.68,41.18,2428.3,1814.5,1721.9,47.43,,22,40.28
2024-03-23 23:00:00+01:00,39.52,28.41,32.42,35.01,34.67,1020.9,668.8,474.5,35.48,,23,28.39
2024-03-24 00:00:00+01:00,50.01,25.24,35.5,30.01,32.98,1091.3,693.1,496.6,34.55,,0,32.1
2024-03-24 01:00:00+01:00,48.4,8.28,17.5,15.02,32.79,691.4,504.8,458.4,34.09,,1,13.28
2024-03-24 02:00:00+01:00,34.77,9.5,11.5,16.35,23.61,363.1,315.3,346.1,21.02,,2,10.13
2024-03-24 03:00:00+01:00,33.39,9.15,16.9,9.15,21.38,716.7,704.7,498.4,17.62,,3,17.0
2024-03-24 04:00:00+01:00,30.3,-10.47,23.5,-9.11,10.56,1234.6,968.4,622.2,-3.24,,4,19.92
2024-03-24 05:00:00+01:00,31.5,-6.0,31.5,-0.12,13.31,1038.5,906.8,458.2,4.38,,5,26.82
2024-03-24 06:00:00+01:00,28.85,-1.39,27.98,3.12,8.8,503.9,435.1,463.9,5.48,,6,24.9
